Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 4GB DDR 128GB SSD Intel HD Graphics 620 FHD DOS серебристый,52030
Терминал доступа NComputing L130,
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 4GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS серебристый,53320
Терминал доступа NComputing L230,
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 32GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 4GB DDR 500GB HDD Intel HD Graphics 620 FHD DOS серебристый,50700
Терминал доступа NComputing N500,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 4GB DDR 1000GB HDD Intel HD Graphics 620 FHD DOS серебристый,51120
Терминал доступа NComputing M300,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-8130U 12GB DDR 1000GB HDD + 128GB SSD Nvidia GeForce MX110 2GB HD черный,52460
Ноутбук Asus X540UB Intel Core i3-7020U 6GB DDR4 128GB SSD NVIDIA MX110 FHD DOS Gold,47910
Ноутбук Foxcon Intel Celeron J3455 8GB DDR3L 128GB SSD FHD DOS Silver,
Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 1000GB HDD DOS Grey,
Ноутбук Acer Aspire A315 Intel Celeron N4000 8GB DDR4 500GB HDD DOS Black,36140
Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics FHD DOS серый,51180
Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 500GB HDD + 128GB SSD FHD DOS Dark Ash,51180
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR4 128GB SSD NVIDIA MX110 FHD DOS Gold,50400
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 1000GB HDD DOS Grey,
Ноутбук Acer Aspire A315 Intel Celeron N4000 4GB DDR4 1000GB HDD DOS Black,
Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 12GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,45160
Ноутбук Asus X540UB Intel Core i5-8250U 8GB DDR 1TB HDD Nvidia Geforce MX110 2GB Full HD Серебристый,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-8130U 12GB DDR 1000GB HDD + 256GB SSD Nvidia GeForce MX110 2GB HD черный,53760
Ноутбук Asus X540UB Intel Core i3-7020U 12GB DDR4 128GB SSD NVIDIA MX110 FHD DOS Gold,52980
Ноутбук Foxcon Intel Celeron J3455 8GB DDR3L 500GB HDD FHD DOS Silver,
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 128GB SSD DOS Grey,
Ноутбук Acer Aspire A315 Intel Celeron N4000 8GB DDR4 1000GB HDD DOS Black,37000
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 128GB SSD FHD DOS Black,43700
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 4GB DDR 1000GB HDD AMD Radeon 530 2GB FHD серебристый,45590
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 1000GB HDD + 512GB SSD FHD DOS BL серебристый,
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 20GB DDR4 1000GB HDD + 512GB SSD NVIDIA MX330 FHD DOS Black,
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD FHD DOS Black,46020
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR 1TB HDD Nvidia Geforce MX110 2GB Full HD Серебристый,45690
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 8GB DDR 1000GB HDD AMD Radeon 530 2GB FHD серебристый,48170
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 36GB DDR4 1000GB HDD + 512GB SSD NVIDIA MX330 FHD DOS Black,
Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 500GB HDD HD Win10 Grey,
Ноутбук Lenovo S145-15API AMD 3020e 4GB DDR4 128GB SSD DOS Black,
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 128GB SSD FHD DOS Black,48170
Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 1000GB HDD HD Win10 Grey,
Ноутбук Lenovo S145-15API AMD 3020e 4GB DDR4 240GB SSD DOS Black,
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD FHD DOS Black,44730
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR 128 SSD Nvidia Geforce MX110 2GB Full HD Серебристый,46370
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 1000GB HDD HD Win10 Grey,36570
Ноутбук Lenovo S145-15API AMD 3020e 8GB DDR4 128GB SSD DOS Black,35280
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD FHD DOS Black,47150
Ноутбук Asus M570DD-DM057 AMD Ryzen 7 3700U 8GB DDR4 512GB SSD NVIDIA GTX1050 FHD DOS черный,
Ноутбук Asus X540UB Intel Core i5-8250U 20GB DDR 256Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,
Ноутбук Asus X509JA-EJ062 Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Slate Gray,42840
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 128GB SSD DOS Black,42840
Ноутбук Asus X540UB Intel Core i3-7020U 12Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,52980
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 FHD синий,46200
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black,45160
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий,48340
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 128GB SSD DOS Black,47310
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий,49200
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD DOS Black,43880
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий,52210
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black,46280
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 1000Gb HDD Nvidia Geforce MX110 2GB Full HD Silver,47400
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 256GB SSD Intel HD Graphics 620 FHD синий,47050
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 256GB SSD DOS Black,48610
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 500Gb HDD Nvidia Geforce MX110 2GB Full HD Silver,47050
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 512GB SSD Intel HD Graphics 620 FHD синий,50070
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,47740
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 256GB SSD NVIDIA MX110 DOS Silver,45590
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 512GB SSD Intel HD Graphics 620 HD серебристый,
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 256GB SSD AMD Radeon Graphics HD черный,42590
Ноутбук MSI GF63 Intel Core i5-9300H 8GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD черный,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver,44730
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 120GB SSD Intel HD Graphics HD черный,
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 512GB SSD AMD Radeon Graphics HD черный,46020
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 128GB SSD Nvidia Geforce MX330 2GB HD серый,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver,46020
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 1000GB HDD Intel HD Graphics HD черный,
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 128GB SSD AMD Radeon Graphics FHD серый,41730
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX330 2GB HD серый,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 256GB SSD NVIDIA MX110 DOS Silver,47310
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 240GB SSD Intel HD Graphics HD черный,35710
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 256GB SSD AMD Radeon Graphics FHD серый,43020
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 1000GB HDD + 128GB SSD NVIDIA MX110 DOS Silver,46450
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 500GB HDD Intel HD Graphics HD черный,
Ноутбук Dell G5 SE i5505-A753 AMD Ryzen 7-4800H 8GB DDR4 512GB SSD RADEON RX5600M FHD W10 Grey,
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,47910
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD DOS Black,44480
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 240Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,48690
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий,50490
Ноутбук HP Pavilion 15-EH0050WM AMD Ryzen 5-4500U 8GB DDR4 512GB SSD FHD W10 Horizon Blue,
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий,52210
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий,56070
Ноутбук Lenovo Ideapad 3 14IIL05 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD W10 Grey,
Ноутбук Asus X540UB Intel Core i5-8250U 6GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый,
Ноутбук Asus X540UB-DM538 Intel Core i3-7020U 4GB DDR4 500GB HDD NVIDIA MX110 FHD DOS Black,45340
Ноутбук Asus X540UB Intel Core i5-8250U 8GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый,
Ноутбук Asus X540UB-DM538 Intel Core i3-7020U 4GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Black,47150
Ноутбук Lenovo IdeaPad 3 15IIL05 Intel Core i3-1005G1 8GB DDR4 256GB SSD FHD W10 Grey,46450
Ноутбук Asus X540UB Intel Core i5-8250U 12GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый,
Ноутбук Asus X540UB Intel Core i5-8250U 20GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый,
"Моноблок Lenovo V530-22ICB Intel Pentium G5400T 4GB DDR4 500GB HDD 21.5"" FHD IPS DOS Black",57520
Ноутбук Lenovo Ideapad 3 17ADA05 AMD Ryzen 3 3250U 8GB DDR4 256GB SSD W10 Grey,52380
Ноутбук Lenovo Legion 5 15ACH6H AMD Ryzen 5 5600H 16GB DDR4 512GB SSD NVIDIA RTX3060 FHD W10 Blue,
Ноутбук Lenovo Legion 5 15ARH05H AMD Ryzen 5 4600H 8GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD W10 Black,
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 128GB SSD AMD Radeon Graphics FHD серый,44310
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 36GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый,
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA MX110 DOS Silver,47740
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 120GB SSD Intel HD Graphics HD черный,36570
Ноутбук Lenovo Ideapad S145-15AST A6-9225 4GB DDR4 240GB SSD AMD Radeon R7 M445 2GB HD черный,37000
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 1000GB HDD Intel HD Graphics HD черный,36140
Ноутбук Lenovo Ideapad S145-15AST A6-9225 8GB DDR4 240GB SSD AMD Radeon R7 M445 2GB HD черный,39150
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 240GB SSD Intel HD Graphics HD черный,37860
Ноутбук Foxcon Intel Core i5-5257U 8GB DDR3L 120GB SSD FHD серебристый,39150
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 4GB DDR 128GB SSD Radeon Vega 8 Graphics HD черный,44310
